"ISO2","collectedBy_self","collectedBy_others","collected_total","housedFrom_self","housedFrom_other","housed_total","centroid.lon","centroid.lat"
"AD",944,1832,1917,944,0,944,1.5,42.5
"AE",0,650,650,0,0,0,54,24
"AF",0,4584,4584,0,0,0,65,33
"AG",0,1229,1229,0,0,0,-61.8,17.05
"AI",0,1134,1134,0,0,0,-63.05,18.2167
"AL",0,1899,1899,0,0,0,20,41
"AM",499,4388,4470,499,839,1227,45,40.25
"AO",68,8027,8050,68,46,110,18.5,-12.5
"AR",12105,14629,16352,12105,22403,26244,-64,-34
"AS",0,1174,1174,0,0,0,-170.73,-14.318
"AT",6206,7285,8896,6206,66501,67753,13.3333,47.3333
"AU",28447,24480,32677,28447,12225,32800,135,-25
"AW",0,549,549,0,0,0,-69.966667,12.5
"AX",0,620,620,0,0,0,19.952,60.198
"AZ",695,3618,3753,695,3,697,47.5,40.5
"BA",0,1674,1674,0,0,0,17.786,44.169
"BB",0,1124,1124,0,0,0,-59.533333,13.166667
"BD",0,2481,2481,0,0,0,90,24
"BE",6534,4155,7682,6534,67279,69275,4,50.8333
"BF",1208,1961,2143,1208,402,1326,-1.74,12.278
"BG",0,3787,3787,0,508,508,25.25,42.666667
"BH",0,240,240,0,0,0,50.55,26.033333
"BI",0,4163,4163,0,0,0,30,-3.5
"BJ",2375,3002,3233,2375,31,2383,2.25,9.5
"BL",0,699,699,0,0,0,-63.043,18.04
"BM",0,1534,1534,0,0,0,-64.75,32.333333
"BN",0,3590,3590,0,0,0,114.6667,4.5
"BO",0,23442,23442,0,0,0,-65,-17
"BQ",0,1362,1362,0,0,0,-68.25,12.1666666667
"BR",48340,46043,56869,48340,50321,81258,-55,-10
"BS",0,2342,2342,0,0,0,-76,24.25
"BT",0,3533,3533,0,0,0,90.5,27.5
"BV",0,11,11,0,0,0,3.412,-54.422
"BW",0,2822,2822,0,0,0,24,-22
"BY",0,1549,1549,0,0,0,28,53
"BZ",0,5689,5689,0,0,0,-88.75,17.25
"CA",11728,10580,14346,11728,33006,36149,-96,60
"CC",0,235,235,0,0,0,96.8333333333,-12.5
"CD",1509,12925,12987,1509,412,1619,25,0.0166666666667
"CF",0,4189,4189,0,0,0,21,7
"CG",0,4451,4451,0,0,0,15,-1
"CH",4484,7418,8005,4484,77532,78598,8,47
"CI",4354,4451,5398,4354,2297,5163,-5.556,7.632
"CK",0,2217,2217,0,0,0,-159.766666667,-21.2333333333
"CL",2354,10232,10379,2354,19,2366,-71,-30
"CM",1984,9354,9453,1984,0,1984,12,6
"CN",28766,30884,38448,28766,9754,34394,105,35
"CO",25647,30717,35417,25647,8561,29536,-74.8167,3.4
"CR",11295,15331,15975,11295,4979,13006,-83.946,9.971
"CU",0,9871,9871,0,0,0,-81.3,22.733333
"CV",0,1105,1105,0,0,0,-24,16
"CW",0,1112,1112,0,0,0,-69,12.1666666667
"CX",0,480,480,0,0,0,105.704,-10.444
"CY",0,1904,1904,0,0,0,33,35
"CZ",3382,4602,5475,3382,9881,10839,15,49.75
"DE",9103,11549,14428,9103,99356,101676,10.5,51.5
"DJ",0,278,278,0,0,0,43.1667,11.55
"DK",3331,4403,5286,3331,14892,17505,10,56
"DM",0,2768,2768,0,0,0,-61.35,15.433333
"DO",0,7049,7049,0,0,0,-70.6666666667,19
"DZ",0,5146,5146,0,0,0,3,28
"EC",59,27452,27452,59,0,59,-78.25,-1.25
"EE",4647,1487,4781,4647,7668,9290,26,59
"EG",0,2959,2959,0,0,0,30,27
"EH",0,161,161,0,0,0,-13.706,24.554
"ER",0,1900,1900,0,0,0,39,15
"ES",17050,11710,19164,17050,63933,69231,-4,40
"ET",0,6663,6663,0,0,0,39.5,9
"FI",4311,4458,5871,4311,2986,4741,26,64
"FJ",0,3696,3696,0,0,0,178,-18
"FK",0,636,636,0,0,0,-58.694,-51.665
